"id","source_job_id","url","hash","title","published_date","description","work_modality","contract_type","workday","salary_text","accessibility_mentioned","transport_mentioned","disability_friendly","multiple_vacancies","area","subarea","min_experience","min_education","created_at","updated_at","company_id","location_id","source_id"
268,"1118007001",https://www.laborum.cl/empleos/asistente-jurídico-inclusivo-1118007001.html,empleo_hash_0001,Asistente Jurídico,2025-10-13,"Oferta laboral inclusiva bajo Ley 21.015 en el área de legal. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",presencial,indefinido,por turnos,$500.000 bruto,true,true,true,false,Legal,Asistente Jurídico,"2",Profesional universitario,2025-10-25 16:39:11.643 -0300,2025-10-25 16:39:11.643 -0300,88,15,2
270,"1118007003",https://www.laborum.cl/empleos/biblioteca-y-museos-inclusivo-1118007003.html,empleo_hash_0003,Biblioteca y Museos,2025-10-25,"Oferta laboral inclusiva bajo Ley 21.015 en el área de cultura. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",híbrido,indefinido,full-time,$900.000 bruto,true,false,true,false,Cultura,Biblioteca y Museos,"2",Técnico nivel superior,2025-10-25 16:39:11.653 -0300,2025-10-25 16:39:11.653 -0300,90,16,2
271,"1118007004",https://www.laborum.cl/empleos/gestión-de-personas-inclusivo-1118007004.html,empleo_hash_0004,Gestión de Personas,2025-10-18,"Oferta laboral inclusiva bajo Ley 21.015 en el área de recursos humanos. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",remoto,part-time,full-time,$500.000 bruto,true,false,true,false,Recursos Humanos,Gestión de Personas,"1",Técnico nivel superior,2025-10-25 16:39:11.658 -0300,2025-10-25 16:39:11.658 -0300,91,17,2
272,"1118007005",https://www.laborum.cl/empleos/biblioteca-y-museos-inclusivo-1118007005.html,empleo_hash_0005,Biblioteca y Museos,2025-10-14,"Oferta laboral inclusiva bajo Ley 21.015 en el área de cultura. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",presencial,práctica profesional,part-time,$1.200.000 bruto,true,false,true,false,Cultura,Biblioteca y Museos,"2",Técnico nivel superior,2025-10-25 16:39:11.663 -0300,2025-10-25 16:39:11.663 -0300,92,15,2
273,"1118007006",https://www.laborum.cl/empleos/cocina-y-atención-inclusivo-1118007006.html,empleo_hash_0006,Cocina y Atención,2025-10-23,"Oferta laboral inclusiva bajo Ley 21.015 en el área de gastronomía. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",presencial,plazo fijo,por turnos,$700.000 bruto,true,false,true,false,Gastronomía,Cocina y Atención,"3",Enseñanza media completa,2025-10-25 16:39:11.667 -0300,2025-10-25 16:39:11.667 -0300,93,10,2
276,"1118007009",https://www.laborum.cl/empleos/reciclaje-y-jardinería-inclusivo-1118007009.html,empleo_hash_0009,Reciclaje y Jardinería,2025-10-13,"Oferta laboral inclusiva bajo Ley 21.015 en el área de medio ambiente. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",remoto,práctica profesional,por turnos,$900.000 bruto,true,false,true,true,Medio Ambiente,Reciclaje y Jardinería,"2",Técnico nivel superior,2025-10-25 16:39:11.680 -0300,2025-10-25 16:39:11.680 -0300,96,16,2
277,"1118007010",https://www.laborum.cl/empleos/diseño-gráfico-y-web-inclusivo-1118007010.html,empleo_hash_0010,Diseño Gráfico y Web,2025-10-16,"Oferta laboral inclusiva bajo Ley 21.015 en el área de diseño. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",híbrido,plazo fijo,part-time,$700.000 bruto,true,false,true,true,Diseño,Diseño Gráfico y Web,"3",Técnico nivel superior,2025-10-25 16:39:11.685 -0300,2025-10-25 16:39:11.685 -0300,97,18,2
278,"1118007011",https://www.laborum.cl/empleos/gestión-de-personas-inclusivo-1118007011.html,empleo_hash_0011,Gestión de Personas,2025-10-18,"Oferta laboral inclusiva bajo Ley 21.015 en el área de recursos humanos. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",presencial,indefinido,full-time,$900.000 bruto,true,true,true,false,Recursos Humanos,Gestión de Personas,"1",Profesional universitario,2025-10-25 16:39:11.689 -0300,2025-10-25 16:39:11.689 -0300,98,19,2
279,"1118007012",https://www.laborum.cl/empleos/atención-pacientes-inclusivo-1118007012.html,empleo_hash_0012,Atención Pacientes,2025-10-16,"Oferta laboral inclusiva bajo Ley 21.015 en el área de salud. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",remoto,part-time,full-time,$700.000 bruto,true,true,true,true,Salud,Atención Pacientes,"1",Enseñanza media completa,2025-10-25 16:39:11.693 -0300,2025-10-25 16:39:11.693 -0300,99,14,2
280,"1118007013",https://www.laborum.cl/empleos/gestión-de-personas-inclusivo-1118007013.html,empleo_hash_0013,Gestión de Personas,2025-10-16,"Oferta laboral inclusiva bajo Ley 21.015 en el área de recursos humanos. La empresa ofrece entorno accesible, políticas de inclusión y ajustes razonables.",remoto,part-time,por turnos,$500.000 bruto,true,true,true,false,Recursos Humanos,Gestión de Personas,"1",Enseñanza media completa,2025-10-25 16:39:11.697 -0300,2025-10-25 16:39:11.697 -0300,100,20,2
